node_id	reason	capacity	area_3857
9232616948	capacity_suspiciously_high	6	0
9032114051	capacity_suspiciously_high	6	0
6924630785	capacity_suspiciously_high	12	0
7977386065	capacity_suspiciously_high	8	0
9969625003	capacity_suspiciously_high	5	0
9813770208	capacity_suspiciously_high	24	0
9917462442	capacity_suspiciously_high	6	0
9922002832	capacity_suspiciously_high	6	0
4768460378	capacity_suspiciously_high	6	0
8925699802	capacity_suspiciously_high	50	0
4783500836	capacity_suspiciously_high	5	0
4783500835	capacity_suspiciously_high	6	0
9914105311	capacity_suspiciously_high	6	0
10125903519	capacity_suspiciously_high	6	0
9919060546	capacity_suspiciously_high	8	0
4778176346	capacity_suspiciously_high	14	0
631715500	capacity_suspiciously_high	22	0
7825147500	capacity_suspiciously_high	6	0
2115443397	capacity_suspiciously_high	6	0
4778195249	capacity_suspiciously_high	8	0
9006342880	capacity_suspiciously_high	9	0
9927152430	capacity_suspiciously_high	16	0
9673702955	capacity_suspiciously_high	22	0
8416466497	capacity_suspiciously_high	150	0
7167695681	capacity_suspiciously_high	8	0
6442734915	capacity_suspiciously_high	8	0
1444744494	capacity_suspiciously_high	8	0
10267128975	capacity_suspiciously_high	6	0
4993295812	capacity_suspiciously_high	12	0
6153445624	capacity_suspiciously_high	12	0
5042751268	capacity_suspiciously_high	5	0
6714980444	capacity_suspiciously_high	22	0
8818967873	capacity_suspiciously_high	5	0
8779864603	capacity_suspiciously_high	6	0
9689705185	capacity_suspiciously_high	5	0
4710012125	capacity_suspiciously_high	6	0
8972990808	capacity_suspiciously_high	5	0
10678066771	capacity_suspiciously_high	6	0
7782276743	capacity_suspiciously_high	8	0
6804902666	capacity_suspiciously_high	8	0
9724844219	capacity_suspiciously_high	6	0
9363858021	capacity_suspiciously_high	10	0
9922115906	capacity_suspiciously_high	8	0
10567546450	capacity_suspiciously_high	12	0
5698869225	capacity_suspiciously_high	6	0
6467616570	capacity_suspiciously_high	6	0
7503177707	capacity_suspiciously_high	5	0
8991898478	capacity_suspiciously_high	6	0
3268777315	capacity_suspiciously_high	16	0
5060775556	capacity_suspiciously_high	6	0
6457836076	capacity_suspiciously_high	8	0
5525655936	capacity_suspiciously_high	6	0
10567615818	capacity_suspiciously_high	8	0
10100156790	capacity_suspiciously_high	9	0
7797493647	capacity_suspiciously_high	8	0
5860342125	capacity_suspiciously_high	20	0
9961018713	capacity_suspiciously_high	22	0
5388170732	capacity_suspiciously_high	10	0
5858975147	capacity_suspiciously_high	6	0
10694405858	capacity_suspiciously_high	12	0
5028549777	capacity_suspiciously_high	9	0
6799611943	capacity_suspiciously_high	8	0
3057631386	capacity_suspiciously_high	6	0
9186832266	capacity_suspiciously_high	6	0
8869534254	capacity_suspiciously_high	6	0
5119192536	capacity_suspiciously_high	24	0
6308858609	capacity_suspiciously_high	6	0
6308863171	capacity_suspiciously_high	12	0
5157523319	capacity_suspiciously_high	18	0
3060823383	capacity_suspiciously_high	12	0
7942308038	capacity_suspiciously_high	8	0
6314687699	capacity_suspiciously_high	6	0
7942308039	capacity_suspiciously_high	8	0
7942308044	capacity_suspiciously_high	8	0
7720824192	capacity_suspiciously_high	6	0
7720824195	capacity_suspiciously_high	6	0
6291257725	capacity_suspiciously_high	8	0
7720824193	capacity_suspiciously_high	8	0
7977135335	capacity_suspiciously_high	6	0
7942308041	capacity_suspiciously_high	8	0
8880881764	capacity_suspiciously_high	8	0
7720824194	capacity_suspiciously_high	8	0
7942308040	capacity_suspiciously_high	8	0
7942308043	capacity_suspiciously_high	8	0
7942308042	capacity_suspiciously_high	8	0
5823886596	capacity_suspiciously_high	11	0
5823886605	capacity_suspiciously_high	50	0
5823886475	capacity_suspiciously_high	22	0
5274478981	capacity_suspiciously_high	8	0
7942308036	capacity_suspiciously_high	8	0
6676111282	capacity_suspiciously_high	5	0
7942308035	capacity_suspiciously_high	8	0
8962839486	capacity_suspiciously_high	8	0
7942308037	capacity_suspiciously_high	8	0
4266648489	capacity_suspiciously_high	6	0
9802413198	capacity_suspiciously_high	22	0
3971803796	capacity_suspiciously_high	6	0
8274075217	capacity_suspiciously_high	12	0
7551294138	capacity_suspiciously_high	8	0
10568173611	capacity_suspiciously_high	8	0
8849851955	capacity_suspiciously_high	32	0
